"V1","V2","V3","V4","V5"
"lm, average_montly_hours2 ~ last_evaluation2 + number_project2 + left2 + Log_TimeSpent2","F(4,11174)","Prob > P","R-Squared","Adj-R2"
"","505.561","0.000","0.153","0.153"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","111.500","  2.424"," 45.989","  0.000"
"last_evaluation2"," 53.589","  2.634"," 20.344","  0.000"
"number_project2"," 11.930","  0.387"," 30.850","  0.000"
"left2","  5.684","  1.194","  4.761","  0.000"
"Log_TimeSpent2","  8.701","  3.690","  2.358","  0.018"
