"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Log_TimeSpent","EmployeeData_Redacted$Inv_TimeSpent"
"satisfaction_level",1,0.094851228275424,-0.133681234125803,-0.0115423011616093,-0.221954066531188,-0.225648944260947,0.221822390380253
"last_evaluation",0.094851228275424,1,0.281013777114215,0.267359751513562,0.138441357530593,0.113695507644926,-0.0870175029040774
"number_project",-0.133681234125803,0.281013777114215,1,0.344434354894354,0.258684774326185,0.229859951252447,-0.195019538380119
"average_montly_hours",-0.0115423011616093,0.267359751513562,0.344434354894354,1,0.145050608960458,0.123342355044549,-0.0985410462733926
"time_spend_company",-0.221954066531188,0.138441357530593,0.258684774326185,0.145050608960458,1,0.987609275409751,-0.954061434389935
"Log_TimeSpent",-0.225648944260947,0.113695507644926,0.229859951252447,0.123342355044549,0.987609275409751,1,-0.989188607590498
"EmployeeData_Redacted$Inv_TimeSpent",0.221822390380253,-0.0870175029040774,-0.195019538380119,-0.0985410462733926,-0.954061434389935,-0.989188607590498,1
