"V1","V2","V3","V4","V5"
"lm, average_montly_hours2 ~ last_evaluation2 + number_project2 + left2 + Inv_TimeSpent2","F(4,11174)","Prob > P","R-Squared","Adj-R2"
"","504.337","0.000","0.153","0.153"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","116.848","  2.877"," 40.611","  0.000"
"last_evaluation2"," 53.844","  2.632"," 20.458","  0.000"
"number_project2"," 12.039","  0.384"," 31.325","  0.000"
"left2","  6.160","  1.189","  5.181","  0.000"
"Inv_TimeSpent2"," -5.428","  4.561"," -1.190","  0.234"
