"V1","V2","V3","V4","V5"
"lm, average_montly_hours2 ~ last_evaluation2 + number_project2 + left2 + time_spend_company2","F(4,11174)","Prob > P","R-Squared","Adj-R2"
"","507.462","0.000","0.154","0.153"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","110.873","  2.317"," 47.860","  0.000"
"last_evaluation2"," 53.226","  2.637"," 20.183","  0.000"
"number_project2"," 11.804","  0.389"," 30.353","  0.000"
"left2","  5.224","  1.196","  4.367","  0.000"
"time_spend_company2","  1.792","  0.517","  3.465","  0.001"
