"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Log_TimeSpent","Imp_timeSpend","Inv_TimeSpent"
"satisfaction_level",1,0.0946003684237765,-0.134296718081508,-0.00616880898037621,-0.153227559129446,-0.18738051206791,-0.21120877076556,0.201761142542542
"last_evaluation",0.0946003684237765,1,0.270855370519654,0.264821067618692,0.0970851982210993,0.0959865977748549,0.132396285235483,-0.0813513104859226
"number_project",-0.134296718081508,0.270855370519654,1,0.331093921832005,0.189348994786735,0.202362152350643,0.248055263173632,-0.188711138078099
"average_montly_hours",-0.00616880898037621,0.264821067618692,0.331093921832005,1,0.102702896365283,0.106071156038589,0.138641006078499,-0.0940232730780061
"time_spend_company",-0.153227559129446,0.0970851982210993,0.189348994786735,0.102702896365283,1,0.966830245679902,0.62979777253258,-0.893009409471623
"Log_TimeSpent",-0.18738051206791,0.0959865977748549,0.202362152350643,0.106071156038589,0.966830245679902,1,0.767633447138077,-0.977196470865957
"Imp_timeSpend",-0.21120877076556,0.132396285235483,0.248055263173632,0.138641006078499,0.62979777253258,0.767633447138077,1,-0.829781011579669
"Inv_TimeSpent",0.201761142542542,-0.0813513104859226,-0.188711138078099,-0.0940232730780061,-0.893009409471623,-0.977196470865957,-0.829781011579669,1
