"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Log_TimeSpent","Imp_timeSpend","Inv_TimeSpent"
"satisfaction_level",NA,0,0,0.499180541666191,0,0,0,0
"last_evaluation",0,NA,0,0,0,0,0,0
"number_project",0,0,NA,0,0,0,0,0
"average_montly_hours",0.499180541666191,0,0,NA,0,0,0,0
"time_spend_company",0,0,0,0,NA,0,0,0
"Log_TimeSpent",0,0,0,0,0,NA,0,0
"Imp_timeSpend",0,0,0,0,0,0,NA,0
"Inv_TimeSpent",0,0,0,0,0,0,0,NA
