"V1","V2","V3","V4","V5"
"lm, average_montly_hours ~ last_evaluation + number_project + left + Imp_timeSpend","F(4,11998)","Prob > P","R-Squared","Adj-R2"
"","516.492","0.000","0.147","0.147"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","112.082","  2.290"," 48.948","  0.000"
"last_evaluation"," 53.998","  2.542"," 21.240","  0.000"
"number_project"," 11.349","  0.376"," 30.158","  0.000"
"left","  6.297","  1.164","  5.409","  0.000"
"Imp_timeSpend","  1.761","  0.517","  3.410","  0.001"
